county,state,state_abbr,region,lat,lng
Autauga County,Alabama,AL,South,32.532237,-86.64644
Baldwin County,Alabama,AL,South,30.659218,-87.746067
Barbour County,Alabama,AL,South,31.870253,-85.405104
Bibb County,Alabama,AL,South,33.015893,-87.127148
Blount County,Alabama,AL,South,33.977358,-86.56644
Bullock County,Alabama,AL,South,32.101759,-85.717261
Butler County,Alabama,AL,South,31.751667,-86.681969
Calhoun County,Alabama,AL,South,33.770516,-85.827909
Chambers County,Alabama,AL,South,32.915504,-85.394032
Cherokee County,Alabama,AL,South,34.069515,-85.654242
Chilton County,Alabama,AL,South,32.854051,-86.726607
Choctaw County,Alabama,AL,South,31.990954,-88.248889
Clarke County,Alabama,AL,South,31.685521,-87.818624
Clay County,Alabama,AL,South,33.2704,-85.863525
Cleburne County,Alabama,AL,South,33.671964,-85.516126
Coffee County,Alabama,AL,South,31.402258,-85.989602
Colbert County,Alabama,AL,South,34.703112,-87.801457
Conecuh County,Alabama,AL,South,31.430926,-86.988722
Coosa County,Alabama,AL,South,32.931445,-86.243482
Covington County,Alabama,AL,South,31.243987,-86.448721
Crenshaw County,Alabama,AL,South,31.730311,-86.320038
Cullman County,Alabama,AL,South,34.131923,-86.869267
Dale County,Alabama,AL,South,31.430654,-85.609476
Dallas County,Alabama,AL,South,32.333526,-87.11436
DeKalb County,Alabama,AL,South,34.460915,-85.804021
Elmore County,Alabama,AL,South,32.597229,-86.142735
Escambia County,Alabama,AL,South,31.122287,-87.16841
Etowah County,Alabama,AL,South,34.047641,-86.034263
Fayette County,Alabama,AL,South,33.716157,-87.764292
Franklin County,Alabama,AL,South,34.441989,-87.842814
Geneva County,Alabama,AL,South,31.092382,-85.821022
Greene County,Alabama,AL,South,32.844497,-87.9642
Hale County,Alabama,AL,South,32.752796,-87.623061
Henry County,Alabama,AL,South,31.516978,-85.239971
Houston County,Alabama,AL,South,31.158183,-85.296411
Jackson County,Alabama,AL,South,34.764114,-85.980056
Jefferson County,Alabama,AL,South,33.553444,-86.896536
Lamar County,Alabama,AL,South,33.787085,-88.087431
Lauderdale County,Alabama,AL,South,34.904168,-87.651108
Lawrence County,Alabama,AL,South,34.529776,-87.321865
Lee County,Alabama,AL,South,32.604064,-85.353048
Limestone County,Alabama,AL,South,34.810239,-86.981399
Lowndes County,Alabama,AL,South,32.147888,-86.650586
